Step,Infected,Susceptible,Total,Scenario
0,3,55,120,50%_vaccinated
1,3,55,120,50%_vaccinated
2,4,54,120,50%_vaccinated
3,4,54,120,50%_vaccinated
4,4,54,120,50%_vaccinated
5,4,54,120,50%_vaccinated
6,6,52,120,50%_vaccinated
7,9,49,120,50%_vaccinated
8,11,47,120,50%_vaccinated
9,13,45,120,50%_vaccinated
10,13,45,120,50%_vaccinated
11,13,45,120,50%_vaccinated
12,16,42,120,50%_vaccinated
13,18,40,120,50%_vaccinated
14,19,39,120,50%_vaccinated
15,21,37,120,50%_vaccinated
16,22,36,120,50%_vaccinated
17,23,35,120,50%_vaccinated
18,24,34,120,50%_vaccinated
19,25,33,120,50%_vaccinated
20,26,32,120,50%_vaccinated
21,28,30,120,50%_vaccinated
22,32,26,120,50%_vaccinated
23,37,21,120,50%_vaccinated
24,38,20,120,50%_vaccinated
25,40,18,120,50%_vaccinated
26,41,17,120,50%_vaccinated
27,41,17,120,50%_vaccinated
28,42,16,120,50%_vaccinated
29,44,14,120,50%_vaccinated
30,44,14,120,50%_vaccinated
31,47,11,120,50%_vaccinated
32,48,10,120,50%_vaccinated
33,48,10,120,50%_vaccinated
34,51,7,120,50%_vaccinated
35,52,6,120,50%_vaccinated
36,52,6,120,50%_vaccinated
37,52,6,120,50%_vaccinated
38,53,5,120,50%_vaccinated
39,54,4,120,50%_vaccinated
40,54,4,120,50%_vaccinated
41,54,4,120,50%_vaccinated
42,54,4,120,50%_vaccinated
43,55,3,120,50%_vaccinated
44,56,2,120,50%_vaccinated
45,56,2,120,50%_vaccinated
46,57,1,120,50%_vaccinated
47,57,1,120,50%_vaccinated
48,57,1,120,50%_vaccinated
49,57,1,120,50%_vaccinated
50,57,1,120,50%_vaccinated
51,57,1,120,50%_vaccinated
52,57,1,120,50%_vaccinated
53,57,1,120,50%_vaccinated
54,57,1,120,50%_vaccinated
