Step,Infected,Susceptible,Total,Scenario
0,3,117,120,baseline
1,4,116,120,baseline
2,6,114,120,baseline
3,6,114,120,baseline
4,9,111,120,baseline
5,10,110,120,baseline
6,13,107,120,baseline
7,20,100,120,baseline
8,24,96,120,baseline
9,28,92,120,baseline
10,37,83,120,baseline
11,41,79,120,baseline
12,43,77,120,baseline
13,51,69,120,baseline
14,55,65,120,baseline
15,61,59,120,baseline
16,65,55,120,baseline
17,68,52,120,baseline
18,79,41,120,baseline
19,86,34,120,baseline
20,88,32,120,baseline
21,94,26,120,baseline
22,97,23,120,baseline
23,101,19,120,baseline
24,105,15,120,baseline
25,109,11,120,baseline
26,109,11,120,baseline
27,109,11,120,baseline
28,110,10,120,baseline
29,113,7,120,baseline
30,116,4,120,baseline
31,117,3,120,baseline
32,117,3,120,baseline
33,117,3,120,baseline
34,117,3,120,baseline
35,118,2,120,baseline
36,119,1,120,baseline
37,119,1,120,baseline
38,119,1,120,baseline
39,119,1,120,baseline
40,119,1,120,baseline
0,3,117,120,distancing
1,3,117,120,distancing
2,4,116,120,distancing
3,4,116,120,distancing
4,5,115,120,distancing
5,6,114,120,distancing
6,6,114,120,distancing
7,9,111,120,distancing
8,9,111,120,distancing
9,12,108,120,distancing
10,15,105,120,distancing
11,16,104,120,distancing
12,18,102,120,distancing
13,20,100,120,distancing
14,23,97,120,distancing
15,25,95,120,distancing
16,26,94,120,distancing
17,31,89,120,distancing
18,35,85,120,distancing
19,38,82,120,distancing
20,38,82,120,distancing
21,41,79,120,distancing
22,43,77,120,distancing
23,48,72,120,distancing
24,54,66,120,distancing
25,61,59,120,distancing
26,61,59,120,distancing
27,66,54,120,distancing
28,68,52,120,distancing
29,75,45,120,distancing
30,77,43,120,distancing
31,81,39,120,distancing
32,82,38,120,distancing
33,86,34,120,distancing
34,88,32,120,distancing
35,92,28,120,distancing
36,94,26,120,distancing
37,97,23,120,distancing
38,98,22,120,distancing
39,103,17,120,distancing
40,107,13,120,distancing
41,108,12,120,distancing
42,109,11,120,distancing
43,109,11,120,distancing
44,109,11,120,distancing
45,109,11,120,distancing
46,112,8,120,distancing
47,113,7,120,distancing
48,113,7,120,distancing
49,113,7,120,distancing
50,115,5,120,distancing
51,119,1,120,distancing
52,119,1,120,distancing
53,119,1,120,distancing
54,119,1,120,distancing
0,3,55,120,50%_vaccinated
1,3,55,120,50%_vaccinated
2,4,54,120,50%_vaccinated
3,4,54,120,50%_vaccinated
4,4,54,120,50%_vaccinated
5,4,54,120,50%_vaccinated
6,6,52,120,50%_vaccinated
7,9,49,120,50%_vaccinated
8,11,47,120,50%_vaccinated
9,13,45,120,50%_vaccinated
10,13,45,120,50%_vaccinated
11,13,45,120,50%_vaccinated
12,16,42,120,50%_vaccinated
13,18,40,120,50%_vaccinated
14,19,39,120,50%_vaccinated
15,21,37,120,50%_vaccinated
16,22,36,120,50%_vaccinated
17,23,35,120,50%_vaccinated
18,24,34,120,50%_vaccinated
19,25,33,120,50%_vaccinated
20,26,32,120,50%_vaccinated
21,28,30,120,50%_vaccinated
22,32,26,120,50%_vaccinated
23,37,21,120,50%_vaccinated
24,38,20,120,50%_vaccinated
25,40,18,120,50%_vaccinated
26,41,17,120,50%_vaccinated
27,41,17,120,50%_vaccinated
28,42,16,120,50%_vaccinated
29,44,14,120,50%_vaccinated
30,44,14,120,50%_vaccinated
31,47,11,120,50%_vaccinated
32,48,10,120,50%_vaccinated
33,48,10,120,50%_vaccinated
34,51,7,120,50%_vaccinated
35,52,6,120,50%_vaccinated
36,52,6,120,50%_vaccinated
37,52,6,120,50%_vaccinated
38,53,5,120,50%_vaccinated
39,54,4,120,50%_vaccinated
40,54,4,120,50%_vaccinated
41,54,4,120,50%_vaccinated
42,54,4,120,50%_vaccinated
43,55,3,120,50%_vaccinated
44,56,2,120,50%_vaccinated
45,56,2,120,50%_vaccinated
46,57,1,120,50%_vaccinated
47,57,1,120,50%_vaccinated
48,57,1,120,50%_vaccinated
49,57,1,120,50%_vaccinated
50,57,1,120,50%_vaccinated
51,57,1,120,50%_vaccinated
52,57,1,120,50%_vaccinated
53,57,1,120,50%_vaccinated
54,57,1,120,50%_vaccinated
0,3,117,120,better_hygiene
1,4,116,120,better_hygiene
2,6,114,120,better_hygiene
3,6,114,120,better_hygiene
4,6,114,120,better_hygiene
5,6,114,120,better_hygiene
6,8,112,120,better_hygiene
7,11,109,120,better_hygiene
8,12,108,120,better_hygiene
9,18,102,120,better_hygiene
10,22,98,120,better_hygiene
11,26,94,120,better_hygiene
12,35,85,120,better_hygiene
13,38,82,120,better_hygiene
14,40,80,120,better_hygiene
15,46,74,120,better_hygiene
16,47,73,120,better_hygiene
17,50,70,120,better_hygiene
18,54,66,120,better_hygiene
19,59,61,120,better_hygiene
20,60,60,120,better_hygiene
21,66,54,120,better_hygiene
22,69,51,120,better_hygiene
23,78,42,120,better_hygiene
24,80,40,120,better_hygiene
25,83,37,120,better_hygiene
26,86,34,120,better_hygiene
27,92,28,120,better_hygiene
28,94,26,120,better_hygiene
29,97,23,120,better_hygiene
30,97,23,120,better_hygiene
31,101,19,120,better_hygiene
32,102,18,120,better_hygiene
33,102,18,120,better_hygiene
34,104,16,120,better_hygiene
35,107,13,120,better_hygiene
36,109,11,120,better_hygiene
37,110,10,120,better_hygiene
38,111,9,120,better_hygiene
39,111,9,120,better_hygiene
40,115,5,120,better_hygiene
41,116,4,120,better_hygiene
42,116,4,120,better_hygiene
43,116,4,120,better_hygiene
