Step,Infected,Susceptible,Total,Scenario
0,3,117,120,baseline
1,4,116,120,baseline
2,6,114,120,baseline
3,6,114,120,baseline
4,9,111,120,baseline
5,10,110,120,baseline
6,13,107,120,baseline
7,20,100,120,baseline
8,24,96,120,baseline
9,28,92,120,baseline
10,37,83,120,baseline
11,41,79,120,baseline
12,43,77,120,baseline
13,51,69,120,baseline
14,55,65,120,baseline
15,61,59,120,baseline
16,65,55,120,baseline
17,68,52,120,baseline
18,79,41,120,baseline
19,86,34,120,baseline
20,88,32,120,baseline
21,94,26,120,baseline
22,97,23,120,baseline
23,101,19,120,baseline
24,105,15,120,baseline
25,109,11,120,baseline
26,109,11,120,baseline
27,109,11,120,baseline
28,110,10,120,baseline
29,113,7,120,baseline
30,116,4,120,baseline
31,117,3,120,baseline
32,117,3,120,baseline
33,117,3,120,baseline
34,117,3,120,baseline
35,118,2,120,baseline
36,119,1,120,baseline
37,119,1,120,baseline
38,119,1,120,baseline
39,119,1,120,baseline
40,119,1,120,baseline
