Step,Infected,Susceptible,Total,Scenario
0,3,117,120,better_hygiene
1,4,116,120,better_hygiene
2,6,114,120,better_hygiene
3,6,114,120,better_hygiene
4,6,114,120,better_hygiene
5,6,114,120,better_hygiene
6,8,112,120,better_hygiene
7,11,109,120,better_hygiene
8,12,108,120,better_hygiene
9,18,102,120,better_hygiene
10,22,98,120,better_hygiene
11,26,94,120,better_hygiene
12,35,85,120,better_hygiene
13,38,82,120,better_hygiene
14,40,80,120,better_hygiene
15,46,74,120,better_hygiene
16,47,73,120,better_hygiene
17,50,70,120,better_hygiene
18,54,66,120,better_hygiene
19,59,61,120,better_hygiene
20,60,60,120,better_hygiene
21,66,54,120,better_hygiene
22,69,51,120,better_hygiene
23,78,42,120,better_hygiene
24,80,40,120,better_hygiene
25,83,37,120,better_hygiene
26,86,34,120,better_hygiene
27,92,28,120,better_hygiene
28,94,26,120,better_hygiene
29,97,23,120,better_hygiene
30,97,23,120,better_hygiene
31,101,19,120,better_hygiene
32,102,18,120,better_hygiene
33,102,18,120,better_hygiene
34,104,16,120,better_hygiene
35,107,13,120,better_hygiene
36,109,11,120,better_hygiene
37,110,10,120,better_hygiene
38,111,9,120,better_hygiene
39,111,9,120,better_hygiene
40,115,5,120,better_hygiene
41,116,4,120,better_hygiene
42,116,4,120,better_hygiene
43,116,4,120,better_hygiene
44,116,4,120,better_hygiene
45,117,3,120,better_hygiene
46,117,3,120,better_hygiene
47,117,3,120,better_hygiene
48,118,2,120,better_hygiene
49,118,2,120,better_hygiene
50,118,2,120,better_hygiene
51,118,2,120,better_hygiene
52,119,1,120,better_hygiene
53,119,1,120,better_hygiene
54,119,1,120,better_hygiene
55,119,1,120,better_hygiene
