Step,Infected,Susceptible,Total,Scenario
0,3,117,120,distancing
1,3,117,120,distancing
2,4,116,120,distancing
3,4,116,120,distancing
4,5,115,120,distancing
5,6,114,120,distancing
6,6,114,120,distancing
7,9,111,120,distancing
8,9,111,120,distancing
9,12,108,120,distancing
10,15,105,120,distancing
11,16,104,120,distancing
12,18,102,120,distancing
13,20,100,120,distancing
14,23,97,120,distancing
15,25,95,120,distancing
16,26,94,120,distancing
17,31,89,120,distancing
18,35,85,120,distancing
19,38,82,120,distancing
20,38,82,120,distancing
21,41,79,120,distancing
22,43,77,120,distancing
23,48,72,120,distancing
24,54,66,120,distancing
25,61,59,120,distancing
26,61,59,120,distancing
27,66,54,120,distancing
28,68,52,120,distancing
29,75,45,120,distancing
30,77,43,120,distancing
31,81,39,120,distancing
32,82,38,120,distancing
33,86,34,120,distancing
34,88,32,120,distancing
35,92,28,120,distancing
36,94,26,120,distancing
37,97,23,120,distancing
38,98,22,120,distancing
39,103,17,120,distancing
40,107,13,120,distancing
41,108,12,120,distancing
42,109,11,120,distancing
43,109,11,120,distancing
44,109,11,120,distancing
45,109,11,120,distancing
46,112,8,120,distancing
47,113,7,120,distancing
48,113,7,120,distancing
49,113,7,120,distancing
50,115,5,120,distancing
51,119,1,120,distancing
52,119,1,120,distancing
53,119,1,120,distancing
54,119,1,120,distancing
